,页面网址,酒店名称,回复ID,回复时间,answer,原ID,question,原时间,clean_question_new,clean_answer_new
194,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,Scamp20,16-Oct,Hi I am wanting to have a private birthday party.  Is there facilities or function room available to do this.,Answer from PadmaResort_HM,"Hi Scamp20

Yes we do have venues to hold a private party. 

The one that Lou L and Emma-Lee mentioned is the glass Pavillion, it's the extension to our main restaurant with 50 seating capacity. Alternatively, you can also use the Pool Grass Lawn or indoor area of our SKAI beach Club. 

Please email us your requirements and we'll assist you to plan your private party that best suite your needs.",16-Oct, scamp20  venues hold private party  lou l emma lee mentioned glass pavillion extension  restaurant seating capacity alternatively  use pool grass lawn indoor area skai beach club  email  requirements assist plan private party  suite needs, wanting private birthday party facilities function  available
195,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,Empegs,16-Oct,"When was the last time the deluxe rooms were refurbished/renovated? 

Thanks :-)",Answer from PadmaResort_HM,"Dear Empegs

The rooms in the Lagoon block, including Deluxe Room, Premier room, Lagoon Access Room and Balcony Suites were completed in June 2010.",16-Oct, empegs rooms lagoon block including deluxe  premier  lagoon access  balcony suites completed june,last time deluxe rooms refurbished renovated thanks
196,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,lidyah g,16-Oct,Is there a club for teenagers? And if yes what does it consist of? Games room?? Pool table etc,Answer from PadmaResort_HM,"Hi lidyah g

We don't have a special club for teenagers, but we do have games room inside the Kids Club. 

We also run many other interesting outdoor activities for older kids, aged 7 - 14 years old. One of the most popular one is 'PassWorld', which include beach activity, tennis lesson and mini soccer games. We run this programme 2x a week, every Wednesdays and Fridays, morning (10am - 12pm) and afternoon (2pm - 5pm) session. 

Please don't hesitate to email us directly should wish to get more detailed information about this programme.",16-Oct, lidyah g special club teenagers games  inside kids club  run many interesting outdoor activities older kids aged years old  popular  passworld include beach activity tennis lesson mini soccer games run programme 2x week every wednesdays fridays morning 10am 12pm afternoon 2pm 5pm session  hesitate email  directly wish  detailed information programme,club teenagers  consist games  pool table etc
197,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,jodemons,16-Sep,How do you become a garden club member?,Answer from PadmaResort_HM,"Hi Jodemons

Just book the room with Club benefits included :) 

Can be either Garden Club Chalet, Premier Club Chalet, Lagoon Access Room or the Suites (Deluxe Suite, 1BR / 2BR Balcony Suites, Presidential Suite)

Please don't hesitate to contact our reservation team if you need further information or assistance with your booking.",16-Sep, jodemons book  club benefits included either garden club chalet premier club chalet lagoon access  suites deluxe suite 1br 2br balcony suites presidential suite  hesitate contact reservation team need information assistance booking,become garden club member
198,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,GreerS,16-Sep,Hi. Can you please tell me if you are not staying at the resort can you still have breakfast and if so what is the cost. Thenks,Answer from PadmaResort_HM,"Hi GreerS

We mainly provide breakfast for our in-house guests, however we may accommodate outside guests if our occupancy is not too high. Our buffet breakfast at the Donbiu Restaurant costs IDR 235,000/person. 

Please do call us ahead to make reservation.",16-Sep, greers mainly provide breakfast house guests however may accommodate outside guests occupancy high buffet breakfast donbiu restaurant costs idr person  call  ahead make reservation,  tell staying  still breakfast cost thenks
199,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,JK_family_of_4,16-Sep,"Hi there could you please tell me what the difference between the ground floor family rooms and the other family rooms is? They are more expensive. 

Do they have direct pool access? Are they bigger? What is the difference please. 

Many thanks",Answer from PadmaResort_HM,"Hello JK_family_of_4

The Ground Floor Family rooms provide more direct / easy access to the kids pool, hence the price difference...

We have a picture of it on our TripAdvisor. Please don't hesitate to contact our reservation team directly if you need more detailed information about the room or assistance for your booking.",16-Sep, jk family 4 ground floor family rooms provide direct easy access kids pool hence price difference picture tripadvisor  hesitate contact reservation team directly need detailed information  assistance booking,   tell difference ground floor family rooms family rooms expensive direct pool access bigger difference  many thanks
200,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,JK_family_of_4,16-Sep,"Hi there,

We are considering booking for next April and we like the look of the family rooms with the bunk beds and 2nd bathroom. Where are these located in the resort please? 

Are there any of these rooms in the wing that overlooks the lagoon pool or are they only in the building in front of the kids pool? Which of these rooms would have the best view/ outlook please? Thanks in advance for your advice and assistance.",Answer from PadmaResort_HM,"Hello,

All family rooms are located in one building overlooking the kids pool.",16-Sep, family rooms located  building overlooking kids pool, considering booking next april like look family rooms bunk beds 2nd bathroom located   rooms wing overlooks lagoon pool building front kids pool rooms   view outlook  thanks advance advice assistance
201,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,Angela M,16-Sep,"Hi,

I just booked the deluxe chalet for our holiday. When I looked the room picture and details at the resort website, I noticed that one floor plan has bathtub and attached shower. Personally I don't like this layout. Is this type of room still available? By any chance , how to avoid to have this type of room?

Thank you",Answer from PadmaResort_HM,"Dear Angela M

Please contact our reservation team and let us know your preference. We'll do our very best to accommodate your requests.",16-Sep, angela  contact reservation team let  know preference  accommodate requests, booked deluxe chalet holiday looked  picture details  website noticed  floor plan bathtub attached shower personally like layout type  still available chance avoid type  
202,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,mellymooPerth,16-Sep,"Do the restaurants at Padma have a reasonable wine list, including sparkling and champagne?",Answer from nicole b,"As previous comments indicate, the wine is more expensive in Bali. We did however sample quite a few local wines which were about $6 a glass and weren't too bad. The staff didn't mind if we had a sample/taste before we went ahead with a glass or bottle. Just try to remember the ones you liked for next time. There were certainly some that I tried that were not terribly nice at all. hope this helps you. and enjoy.",16-Sep,previous comments indicate wine expensive  however sample quite local wines glass bad staff mind sample taste went ahead glass bottle  remember ones liked next time certainly tried terribly nice hope helps enjoy,restaurants  reasonable wine list including sparkling champagne
203,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,vehs,16-Aug,"Hi
 I want to know where is the chalets in plan of property,  if they have some chalets ocean view or not. And rooms are more near to beach or chalets.Thanks",Answer from Terrie C,The hotel has a road between it and the beach our chalet was in a good spot close to everything and very qiuet,16-Aug, road beach chalet good spot close everything qiuet,  know chalets plan property chalets ocean view rooms near beach chalets thanks
204,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,cgkjourneys,16-Aug,"Hi,

Is there lots of construction going on outside the Padma property and how much noise is the construction making.  Infinity pool looks great, however not nice if listening to construction all day.  Keen to hear what people have to say.  Thanks, Charlotte",Answer from Peggy1924,"Hi Charlotte,
I was only there a month ago, you have no worries regarding construction.They have finished & there's no noise. The only noise you'll hear is the singing of birds. Go an stayed you'll love  it, I can't wait to go back in October. The infinity Pool is amazing. Just go & enjoy yourself Charlotte. Keep me posted.
Tina",16-Aug, charlotte month ago worries regarding construction finished noise noise hear singing birds  stayed love wait   october infinity pool amazing  enjoy charlotte keep posted tina, lots construction going outside  property much noise construction making infinity pool looks great however nice listening construction  keen hear people say thanks charlotte
205,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,island085,16-Aug,We are travelling with a 3 year old and 8 month old. Can we book a deluxe room or do we have to stay in a family room? We plan to use existing bedding and bringing our own travel cot. Thanks,Answer from Antonia B,"Padma are so accomodating , contact they and they will give u options",16-Aug, accomodating contact give u options,travelling year old month old book deluxe  stay family  plan use existing bedding bringing travel cot thanks
206,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,Xanadu4051,16-Aug,"I was hoping someone could help clarify a question regarding the Kids Club. We will be staying at the Padma later in the year and our son will be just under 4 at the time of our stay. I know the Kids Club is from 4-12, but am I right in thinking I can pay for a babysitter to shadow and follow him while he is in Kids Club and he can then participate in the activities?  
Any help with this question would be greatly appreciated.",Answer from PadmaResort_HM,"Yes that 's correct, Xanadu 4051 :)",16-Aug, correct xanadu,hoping someone  help clarify question regarding kids club staying  later year son time stay know kids club right thinking pay babysitter shadow follow kids club participate activities help question  greatly appreciated
207,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,avj19,16-Aug,"Hello, I was wondering if anyone has used the Personal Trainers at the Padma and if so their thoughts, recommendations etc? I'm looking to train when I'm in Bali. 
Thank you",Answer from Brad H,"You may need to book for personal session but the trainers are great. They will only push you to a point, then their over riding Indonesian niceness makes them pull back. Had two sessions, one in the gym and one on the beach. Both were great.",16-Aug,may need book personal session trainers great push point riding indonesian niceness makes pull  two sessions  gym  beach great, wondering anyone used personal trainers  thoughts recommendations etc looking train  
208,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,avj19,16-Aug,"Hello, has anyone used the personal trainers at Padma? If so your thoughts? Thanks",Answer from Marles65,No did not use the gym,16-Aug,use gym, anyone used personal trainers  thoughts thanks
209,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,Mel_and_Joel,16-Aug,"Hi Can you please tell me if the Padma does 'day passes to use the pools'? If so how much are these, what hours can you use them and what is included? Many thanks!",Answer from PadmaResort_HM,"Hello

Our new Infinity Pool (Adults only) is open for outside guests from 5 - 8pm, with a minimum spend of IDR 250,000/person. 

The pool at SKAI Beach Club is also open for outside guests from 11am onwards, with a minimum spend of IDR 500,000 if  you wanna use the day bed (by the pool), or IDR250,000 if you wanna use the sofa bed.",16-Aug, new infinity pool adults open outside guests 8pm minimum spend idr person pool skai beach club  open outside guests 11am onwards minimum spend idr wanna use  bed pool idr250 wanna use sofa bed,  tell   passes use pools much hours use included many thanks
210,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,Vanessa B,16-Aug,"Do you have a kids club room or kids play area facilities ?

My baby is 18 months old can you tell me what type of kids club or nanny service you could provide and cost ?

If yes could you please provide photos. 

Thanks",Answer from PadmaResort_HM,"Hi Vanessa B

Yes we do have a kids club and we do provide babysitting service at IDR65000/hour. Children under 4 years old must be accompanied by adult.   

Please see our website for further information or email our reservation team so we can send you some pictures.

Hope that helps.",16-Aug, vanessa b  kids club provide babysitting service idr65000 hour children years old  accompanied adult  see website information email reservation team send pictures hope helps,kids club  kids play area facilities baby months old tell type kids club nanny service  provide cost    provide photos thanks
211,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,Bella6australia,16-Aug,"Hello
We have stayed at the Padma on numerous occasional and always book a Family Chalet (interconnecting Garden Chalets) however, I can longer see this option when booking? We do not want to book a family room in the new section - we much prefer the chalet accommodation. Could you please advise if you still offer Interconnecting Chalets and how do I go about booking one? 
Many thanks",Answer from PadmaResort_HM,"Hello

We do still have interconnecting chalets, however we don't promote it on our website anymore. You can book 2 chalets and let us know that you'll need the interconnecting one,

Please email our reservation team should you need assistance with your booking.",16-Aug, still interconnecting chalets however promote website anymore book chalets let  know need interconnecting   email reservation team need assistance booking, stayed  numerous occasional always book family chalet interconnecting garden chalets however longer see option booking  book family  new section much prefer chalet accommodation   advise still offer interconnecting chalets  booking  many thanks
212,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,Miminon,16-Jul,Second question - do some the lagoon access rooms have connecting doors?,Answer from PadmaResort_HM,"Hello Miminon

We only have 2 pairs of lagoon access rooms which have connecting door. Both located close to the family block.",16-Jul, miminon pairs lagoon access rooms connecting door located close family block,second question lagoon access rooms connecting doors
213,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,Miminon,16-Jul,"Hi, I am interested to stay in the family room. I would like to ask whether the balconies in these rooms (on the upper floors) are large enough to sit and lounge around. Some balconies are not balconies at all but are just a ledge, unfortunately.",Answer from GavDiamond,Yes they are but why would you want to? Everyone lounges at the pool anyway.  The pool is amazing!,16-Jul,   everyone lounges pool anyway pool amazing, interested stay family   like ask whether balconies rooms upper floors large enough sit lounge around balconies balconies ledge unfortunately
214,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,lidyah g,16-Jul,"We are a family of 4, 2 adults and 2 children aged 9 and 15. Will we be allowed in a family room as my son is classed as an adult?",Answer from PadmaResort_HM,"Hello lidyah g

We're sorry, the availability of family rooms is rather limited, therefore we restrict the booking of family rooms only for family with young children under 12 years old.

We'd suggest you to book family deluxe rooms or family deluxe chalets. Both types consists of 2 rooms. 

Please don't hesitate to contact our reservation team directly if you have further inquiry. They'd be happy to assist you with your booking.",16-Jul, lidyah g sorry availability family rooms rather limited therefore restrict booking family rooms family young children years old suggest book family deluxe rooms family deluxe chalets types consists rooms  hesitate contact reservation team directly inquiry happy assist booking,family adults children aged allowed family  son classed adult
215,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,kaitlyn W,16-Jul,Do all premier rooms have a rain shower? The website advertises it as having one but previous reviews say otherwise. Do you have recommendations for other room types that are good for other honeymooners?,Answer from PadmaResort_HM,"Hi Kaitlyn W,

Yes all premier rooms have a rain shower",16-Jul, kaitlyn w  premier rooms rain shower,premier rooms rain shower website advertises  previous reviews say otherwise recommendations  types good honeymooners
216,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,jungy1976,16-Jun,Hi was just wondering do you have pram hire at the resort,Answer from PadmaResort_HM,"Hello Jungy1976,

Sorry we don't have pram available in the resort...

Please contact our reservation officer as we know a few suppliers whom you can contact to hire a pram. 

Hope that helps",16-Jun, jungy1976 sorry pram available   contact reservation officer know suppliers contact hire pram hope helps, wondering pram hire 
217,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,Siska318,16-Jun,"Is there any kitchenette in garden club chalets? And if its not. since it's written there at the club benefits that we are able to add some amenities, is that also include kitchenette? Let say if i need microwave.",Answer from journeywithme_13,No there are none.,16-Jun,none,kitchenette garden club chalets since written club benefits able add amenities  include kitchenette let say need microwave
218,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,Katie C,16-May,"Hello, we are thinking of staying from July 3 in 2 club premier chalets. 
We are a family of 5, are these rooms interconnecting? 
And is the slide in the pool that is being refurbished? 
I have 3 boys who'd be gutted to miss out on the slide!

Many thanks!",Answer from PadmaResort_HM,"Hi Katie C

Sorry we don't have any interconnecting Premier Club Chalets...We do have family suites, which is a Deluxe Suite connected with a Deluxe Chalet. Please contact our reservation team to clarify your requirements. 

The one recently refurbished is the big main pool, not the one with the slides. The big main pool itself has been re-opened since 1 April. 

The new pool development at Grass Lawn is still on progress and expected to be completed on 30 June. With the addition of this new pool, we'll have 5 swimming pools available for our guests to enjoy. 

We look forward to welcoming you to Padma Resort Legian!",16-May, katie c sorry interconnecting premier club chalets family suites deluxe suite connected deluxe chalet  contact reservation team clarify requirements  recently refurbished big  pool  slides big  pool opened since april new pool development grass lawn still progress expected completed june addition new pool swimming pools available guests enjoy look  welcoming   , thinking staying july club premier chalets family rooms interconnecting slide pool refurbished boys gutted miss slide many thanks
219,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,dansid33,16-May,Is it very disruptive and noticeable?,Answer from balitravel_11,No it's fantastic you wouldn't know they were there when your around the pool did not bother us at all have stayed here at lest 7 times great place,16-Jun,fantastic know around pool bother  stayed lest times great place,disruptive noticeable
220,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,Guncha K,16-Apr,"hi we are staying at padma , with our 9 year old son and have booked delux chalet , ,we will be visiting end of may , can you pls suggest if the room booked is good enough or should we book some other room , also how far are areas like seminayk and kuta from this hotel , what should the approx taxi cost be ?
also does the hotels any shuttle services to these ares ?

thanks for your help 
:)",Answer from lattebuddy,"Seminyak and Kuta are just taxi rides from the hotel and prices are OK as long as you get a taxi driver that knows where they are going. We had a group that had to use 2 taxis my sisters taxi driver had no idea to get to potato head in Seminyak and cost her twice as much. The hotel doesn't have shuttles but taxi are always coming and going. Every time we walked out of the hotel there are taxis waiting to take you where you wanted to go. We had a big group so the hotel would ring taxi to come as we needed a big taxi. The hotel is very accomadating. As for the chalet I think will be big enough . The hotel is so close to street shopping,beach, eating places, everything. Your 9 year old will love the pools.",16-Apr,  taxi rides  prices ok long  taxi driver knows going group use taxis sisters taxi driver idea  potato head  cost twice much  shuttles taxi always coming going every time walked  taxis waiting  wanted  big group   ring taxi come needed big taxi  accomadating chalet think big enough  close street shopping beach eating places everything year old love pools, staying  year old son booked delux chalet visiting end may pls suggest  booked good enough book   far areas like seminayk   approx taxi cost  hotels shuttle services ares thanks help
221,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,bali20152015,16-Apr,"Hi !

Am highly considering staying at the Padma this year. Could you please advise what the location of the hotel is like. Is it close to street shopping and resturants or is it located a bit further out as me and my partner love the street shopping and being close to all the main action.

Thanks.",Answer from June B,"Padma is a terrific resort: out the front is directly a shoppers paradise out the back is the beach with all its restaurants beach bars and heaps of locals selling everything they come up to you on the beach I did not venture into Kuta at night but my daughters did it was a 30 min walk they loved it hope this helps enjoy beautiful Bali for its people they have nothing but want to give you everything oh nearly forgot you must have a massage, Padma offers this but we had daily one out the front just across from main Padma entrance",16-Apr, terrific  front directly shoppers paradise  beach restaurants beach bars heaps locals selling everything come beach venture  night daughters min walk loved hope helps enjoy beautiful  people nothing  give everything oh nearly forgot  massage  offers daily  front across   entrance, highly considering staying  year   advise location  like close street shopping resturants located bit partner love street shopping close  action thanks
222,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,Rose100000,16-Mar,"Hi, do all the rooms have a fridge?",Answer from June B,Yes but just a small one,16-Mar, small , rooms fridge
223,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,Donabee63,16-Mar,"Hi I hear the Main Pool is closed for renovations , any idea when the reno will be finished",Answer from Joanne C,We were told it would reopen early April.,16-Mar,told  reopen early april, hear  pool closed renovations idea reno finished
224,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,KNewlan,16-Mar,hi we are staying at the padma in june with kids and I just wanted to know if the kids club is free or do you have to pay I looked at the website but it doesn't say only about the price of nannies thanks,Answer from PadmaResort_HM,"Hello KNewlan

The Kids Club itself is free for children aged 4 - 12 years old. There will be additional charge for certain activities such as t-shirt painting, shoes painting, arts & crafts, etc.

For toddlers under 4 years old must be accompanied by adults. 

Please let us know if you have further questions.",16-Mar, knewlan kids club free children aged years old additional charge certain activities shirt painting shoes painting arts crafts etc toddlers years old  accompanied adults  let  know questions, staying  june kids wanted know kids club free pay looked website say price nannies thanks
225,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,Hanivenus,16-Mar,"Hello we reserved a room in this hotel (padma legian),21 march, for 5 nights . Wondering about the possibility of using and reserving spa package in padma resort in ubud? We Want to use the infinity pool of padma resort in ubud for 2 hours? Is it possible or not?! In advance thanks alot for ur answer and attention.",Answer from PadmaResort_HM,"Hello Hanivenus

Yes, Padma Legian guests can use the pool at Padma Ubud and vice versa. 

You can also reserve spa package at Padma Ubud. They are open from 9am - 8pm.",16-Mar, hanivenus    guests use pool   vice versa  reserve spa package   open 9am 8pm, reserved     march nights wondering possibility using reserving spa package     use infinity pool    hours possible advance thanks alot ur answer attention
226,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,Denise H,16-Feb,Can you advise what time the swim up bar closes,Answer from PadmaResort_HM,The Swim Up Bar Opening hours is 9am - 8pm..,16-Mar,swim bar opening hours 9am 8pm,advise time swim bar closes
227,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,Aldeny2644,16-Feb,"HI, Can someone tell me if the renovations right now effect the slides?  We are coming March 27 and bringing kids age 5-7 very concerned not enough pool space and too much noise...",Answer from Greg B,"The renovations are to the main pool, not the kids slides and Kids club area at the rear of the complex.   This is a long way from the main pool and behind the lagoon pool.
So should be good.",16-Feb,renovations  pool kids slides kids club area rear complex long way  pool behind lagoon pool good, someone tell renovations right effect slides coming march bringing kids age concerned enough pool space much noise
228,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,Dianne H,16-Feb,"Can you please tell me if you have lifts (elevators) to access rooms on 2nd and 3 rd floors?

Thank you",Answer from lattebuddy,Yes they have lifts and there are plenty of lifts throughout the accommodation,16-Feb, lifts plenty lifts throughout accommodation, tell lifts elevators access rooms 2nd rd floors 
229,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,LiliAndJono,16-Feb,"Hi, we are planning on coming in July with 2 kids, aged 2 and 4. Which room should we book? Thanks",Answer from Jeniwood,"Hi. I would suggest booking a room near the lagoon pool (most families stay in that area). The pool is lovely and there is a seperate children's pool with a shallow area and slides K3 or K4). For a quieter spot, numbers 1 through to 8 are good.

Padma Resort Legion website / Facilities and Activities / Resort Facilities Map",16-Feb,  suggest booking  near lagoon pool families stay area pool lovely seperate children pool shallow area slides k3 k4 quieter spot numbers good   legion website facilities activities  facilities map, planning coming july kids aged  book thanks
230,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,CaroColeKiwi,16-Feb,"Hi, we are booked into the Padma at the end of March. Just wondering if the current renovations are very noisy? We are currently booked into a deluxe chalet and were planning to request a room on the lagoon pool side of the resort (we have young children so don't want to walk far) but I'm now wondering if it would be quieter in the main building in a Premier Twin room. Any advice would be appreciated. Thanks.",Answer from PadmaResort_HM,"Hello CaroColeKiwi

The current renovations are only affecting the main pool area and the noise are very minimum. Some guests didn't even notice that we have renovation.

Hope that helps..",16-Mar, carocolekiwi current renovations affecting  pool area noise minimum guests even notice renovation hope helps, booked  end march wondering current renovations noisy currently booked deluxe chalet planning request  lagoon pool side  young children  walk far wondering  quieter  building premier twin  advice  appreciated thanks
231,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,MelaineMorgan,16-Feb,"Hi, I was wondering whether the Padma Resort is walking distance to activities, shopping, markets etc? 
Thanks",Answer from Geoffrey F,Hi there. You will find almost everything within walking distance or alternatively a short cab ride (watch out for peak times though). Geoff,16-Feb, find almost everything within walking distance alternatively short cab ride watch peak times though geoff, wondering whether   walking distance activities shopping markets etc thanks
232,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,663tolstoy20,16-Feb,Do you have smoking rooms please?,Answer from GaryandCarol52,I don't know the answer to this however all the rooms have balconies.,16-Feb,know answer however rooms balconies,smoking rooms 
233,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,Dan_Mac76,16-Jan,Do the Premier Twin Rooms have air-conditioning?,Answer from braney,"All rooms have their own air con, with your own temperature control and the ability to tuen off and on. Just been to Padma and the air con was so good we kept turning it off because it was so cold!",16-Feb,rooms air con temperature control ability tuen  air con good kept turning cold,premier twin rooms air conditioning
234,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,Vanessa P,16-Jan,"Hi 
I was advise that the Padma is under renovations from Jan to march is the correct? Thanks",Answer from PadmaResort_HM,"Hi Vanessa P

Our main pool is undergoing a general upgrading at the moment. The expected completion date is end of March 2016. 

During this project, our other three pools (lagoon pool, kids pool and infinity pool at SKAI Beach Club) are operating normally. 

Please refer to our website for the detailed information regarding our pool renovation.",16-Jan, vanessa p  pool undergoing general upgrading moment expected completion date end march project three pools lagoon pool kids pool infinity pool skai beach club operating normally  refer website detailed information regarding pool renovation, advise  renovations jan march correct thanks
235,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,sandy B,15-Dec,Can you book a standard room and pay extra for the Garden Club privileges? If so how does this cost?,Answer from PadmaResort_HM,"Dear Sandy B

Garden club privileges are only available for guests who stay in the Club Rooms (Garden Club Chalets, Premier Club Chalets, Lagoon Access Rooms and Suites). We do not sell Club benefits separately as we want to keep its exclusivity. 

Please don't hesitate to email us directly if you have any further questions.",15-Dec, sandy b garden club privileges available guests stay club rooms garden club chalets premier club chalets lagoon access rooms suites sell club benefits separately  keep exclusivity  hesitate email  directly questions,book standard  pay extra garden club privileges cost
236,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,GreerS,15-Dec,Which block are the deluxe suites in. Thanks,Answer from KylesC,"There are 6 Deluxe Suites - 2 are located in each of these blocks - 4, 13 and 20 If you look on the Padma website then click on facilities and activities and click on the resort map at the bottom you can then see the location of these blocks",15-Dec,deluxe suites located blocks look  website click facilities activities click  map bottom see location blocks,block deluxe suites thanks
